time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449950000	16.0933	19.6116	4.76653	2.60876	0.554482	radar	10.0528	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8889	19.7546	4.78637	2.62911	0.546601	lidar	0.782018	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6995	19.8795	4.7635	2.63536	0.505299	radar	3.24427	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4713	20.0302	4.81622	2.65362	0.496907	lidar	1.40108	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2616	20.1709	4.83454	2.66498	0.477401	radar	5.74349	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0715	20.3032	4.82479	2.67675	0.465544	lidar	1.86093	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8417	20.3861	4.82431	2.71321	0.484661	radar	2.1021	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6258	20.5052	4.83548	2.73004	0.47704	lidar	0.658571	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3905	20.592	4.85035	2.76523	0.498616	radar	1.28741	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1442	20.6665	4.86549	2.79709	0.505208	lidar	0.741196	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9081	20.7377	4.87284	2.83176	0.523505	radar	0.388958	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6357	20.8011	4.91583	2.86622	0.530795	lidar	1.81529	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.388	20.8322	4.92198	2.91802	0.576467	radar	2.47181	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1412	20.8749	4.92481	2.95041	0.579962	lidar	0.169664	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9093	20.933	4.91919	2.97261	0.572273	radar	1.74264	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7058	20.9792	4.87336	2.99436	0.566726	lidar	1.84792	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4541	21.0192	4.89293	3.02291	0.569318	radar	2.59745	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2074	21.057	4.90324	3.0474	0.564978	lidar	0.154	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9683	21.0768	4.90123	3.07861	0.573333	radar	0.965083	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.724	21.049	4.88531	3.12131	0.588066	lidar	1.9078	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4765	21.0356	4.88583	-3.12621	0.595644	radar	1.0946	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2583	21.0303	4.85202	-3.09805	0.595083	lidar	0.676501	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.004	20.9918	4.86305	-3.05833	0.606131	radar	4.16442	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7913	20.9547	4.8208	-3.02346	0.612228	lidar	0.613586	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5434	20.9532	4.81465	-3.01647	0.568749	radar	5.5422	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2669	20.9788	4.87576	-3.01058	0.543312	lidar	3.36012	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.028	20.9603	4.87192	-2.99117	0.532926	radar	1.02122	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.8306	20.9218	4.81433	-2.96349	0.535796	lidar	1.68754	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59592	20.913	4.78841	-2.96371	0.488233	radar	2.44635	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.39994	20.8608	4.73552	-2.93465	0.49455	lidar	1.10894	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.17723	20.82	4.72509	-2.91315	0.491918	radar	1.49694	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89044	20.7863	4.80222	-2.90096	0.47706	lidar	2.12732	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.67417	20.7078	4.78382	-2.8676	0.489268	radar	4.43886	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40218	20.6228	4.84246	-2.84018	0.490905	lidar	2.73753	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17382	20.5429	4.84468	-2.81162	0.497826	radar	0.0843687	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93264	20.4626	4.86215	-2.7884	0.495676	lidar	0.130594	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71636	20.3766	4.86292	-2.75627	0.513132	radar	3.47618	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.41415	20.3177	4.9598	-2.75316	0.487278	lidar	3.60538	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.18381	20.2206	4.9586	-2.73068	0.48264	radar	0.227047	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.92078	20.1381	5.0026	-2.71862	0.469002	lidar	0.80924	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.69667	20.046	4.98912	-2.70228	0.457745	radar	0.484186	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.44847	19.9552	5.01487	-2.68933	0.446803	lidar	0.417125	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
